time,open,high,low,close,volume
2024-12-31,31.55,31.65,31.2,31.25,2472496
2025-01-02,31.4,31.4,30.85,31.25,2570836
2025-01-03,31.3,31.3,30.3,30.4,4898969
2025-01-06,30.45,30.7,30.0,30.3,2192306
2025-01-07,30.35,31.0,30.25,30.7,1885377
2025-01-08,30.75,31.0,30.5,30.9,905741
2025-01-09,30.95,31.0,30.55,30.6,1025854
2025-01-10,30.65,30.65,30.05,30.2,1885900
2025-01-13,30.2,30.7,29.7,30.7,2608200
2025-01-14,30.7,31.35,30.7,30.85,1098100
2025-01-15,31.05,31.15,30.75,31.0,1015700
2025-01-16,31.2,31.8,31.15,31.45,1235200
2025-01-17,31.5,32.0,31.3,31.9,1839700
2025-01-20,31.9,32.2,31.65,31.65,1248700
2025-01-21,31.7,32.1,31.7,31.85,2017400
2025-01-22,31.95,33.45,31.95,33.4,6970600
2025-01-23,33.6,35.6,33.6,35.3,5486300
2025-01-24,35.35,36.1,35.25,35.85,14663700
2025-02-03,35.85,35.85,34.85,35.1,4007000
2025-02-04,35.8,35.8,34.65,35.1,2681400
2025-02-05,35.3,36.1,35.2,35.9,5870000
2025-02-06,36.0,36.75,35.9,36.5,3449500
2025-02-07,36.5,37.0,36.2,36.5,2457100
2025-02-10,36.4,36.8,35.95,36.55,2445900
2025-02-11,36.55,37.05,36.4,37.0,2458800
2025-02-12,37.05,37.9,37.05,37.35,2734300
2025-02-13,37.35,37.85,37.05,37.7,2520700
2025-02-14,38.3,38.3,37.2,37.5,2767900
2025-02-17,37.5,37.6,37.1,37.25,1586800
2025-02-18,37.45,37.45,36.5,36.6,3459500
2025-02-19,36.65,37.0,36.3,36.7,3508600
2025-02-20,36.7,37.0,36.25,36.3,3887500
2025-02-21,36.4,36.75,36.3,36.4,1524600
2025-02-24,36.35,36.95,36.15,36.8,4039400
2025-02-25,36.9,37.25,36.8,36.85,3525600
2025-02-26,37.1,37.2,36.6,36.9,2228700
2025-02-27,36.9,36.9,36.3,36.75,2381500
2025-02-28,36.65,36.7,36.05,36.15,2994600
2025-03-03,36.25,36.25,35.6,35.9,3778400
2025-03-04,35.75,35.8,35.15,35.5,5102600
2025-03-05,35.5,36.6,35.5,35.8,2318400
2025-03-06,36.05,36.05,35.5,35.55,1826200
2025-03-07,35.5,35.95,35.4,35.4,3123200
2025-03-10,35.4,35.85,34.8,34.8,4061000
2025-03-11,34.65,34.9,34.1,34.65,3771200
2025-03-12,34.65,35.35,34.25,35.3,2715700
2025-03-13,35.3,35.45,34.9,35.3,2545000
2025-03-14,35.4,35.4,34.95,34.95,1433200
2025-03-17,34.95,35.0,34.45,34.7,2029600
2025-03-18,34.7,35.85,34.4,35.4,5124100
2025-03-19,35.4,36.3,35.4,35.95,6285000
2025-03-20,36.2,36.2,35.55,35.55,2563200
2025-03-21,35.55,35.55,34.8,34.8,2543500
2025-03-24,34.8,34.8,33.7,34.15,8068400
2025-03-25,34.15,34.35,33.8,34.0,2530300
2025-03-26,34.0,34.15,33.45,33.45,2578800
